"id","year","temperaturamnimaextrema_acum","latitud","longitud","geom"
159,"2012",1.7,24.095833,-103.48861,POINT (-103.48860931396484 24.09583282470703)
160,"2012",1.8,18.858612,-97.46306,POINT (-97.46305847167969 18.858612060546875)
161,"2012",1.8,18.920279,-97.2525,POINT (-97.25250244140625 18.920278549194336)
162,"2012",1.8,18.928888,-97.23278,POINT (-97.23278045654297 18.92888832092285)
163,"2012",1.8,19.058332,-99.27417,POINT (-99.274169921875 19.058332443237305)
164,"2012",1.8,19.538889,-99.39694,POINT (-99.39694213867188 19.538888931274414)
165,"2012",1.8,19.96,-97.96,POINT (-97.95999908447266 19.959999084472656)
166,"2012",1.8,20.219444,-98.57861,POINT (-98.57861328125 20.219444274902344)
167,"2012",1.8,20.620832,-104.568054,POINT (-104.56805419921875 20.620832443237305)
168,"2012",1.8,21.3225,-101.10667,POINT (-101.1066665649414 21.322500228881836)
169,"2012",1.8,23.473888,-103.58139,POINT (-103.58139038085938 23.473888397216797)
170,"2012",1.8,24.463612,-100.248055,POINT (-100.24805450439453 24.463611602783203)
171,"2012",1.8,29.912777,-110.21333,POINT (-110.21333312988281 29.912776947021484)
172,"2012",1.8,27.979723,-102.69444,POINT (-102.69444274902344 27.97972297668457)
173,"2012",1.9,19.429167,-99.05278,POINT (-99.05278015136719 19.429166793823242)
174,"2012",1.9,19.610834,-97.02722,POINT (-97.0272216796875 19.6108341217041)
175,"2012",1.9,20.05611,-98.33444,POINT (-98.33444213867188 20.056110382080078)
176,"2012",1.9,20.337223,-98.361946,POINT (-98.36194610595703 20.337223052978516)
177,"2012",1.9,23.248888,-103.804726,POINT (-103.80472564697266 23.24888801574707)
178,"2012",2.0,19.581112,-99.278336,POINT (-99.27833557128906 19.581111907958984)
179,"2012",2.0,19.656666,-99.01722,POINT (-99.01721954345703 19.656665802001953)
180,"2012",2.0,22.16639,-101.95194,POINT (-101.95194244384766 22.16638946533203)
181,"2012",2.0,22.347221,-102.79667,POINT (-102.79666900634766 22.34722137451172)
182,"2012",2.0,24.44111,-100.35722,POINT (-100.35722351074219 24.441110610961914)
183,"2012",2.1,20.640556,-98.65528,POINT (-98.65528106689453 20.64055633544922)
184,"2012",2.1,24.1725,-100.287224,POINT (-100.28722381591797 24.172500610351562)
185,"2012",2.1,24.578056,-100.446945,POINT (-100.44694519042969 24.57805633544922)
186,"2012",2.1,24.640556,-103.69833,POINT (-103.69833374023438 24.64055633544922)
187,"2012",2.1,28.773333,-105.96361,POINT (-105.96360778808594 28.773332595825195)
188,"2012",2.2,19.209444,-99.58861,POINT (-99.58860778808594 19.209444046020508)
189,"2012",2.2,19.781666,-99.4725,POINT (-99.47250366210938 19.781665802001953)
190,"2012",2.2,20.217222,-98.73055,POINT (-98.73055267333984 20.217222213745117)
191,"2012",2.2,20.456388,-98.91055,POINT (-98.91055297851562 20.456388473510742)
192,"2012",2.2,22.164444,-102.55417,POINT (-102.55416870117188 22.164443969726562)
193,"2012",2.2,22.347221,-101.715836,POINT (-101.71583557128906 22.34722137451172)
194,"2012",2.2,22.657223,-102.495834,POINT (-102.49583435058594 22.657222747802734)
195,"2012",2.2,22.771944,-103.94417,POINT (-103.94416809082031 22.771944046020508)
196,"2012",2.2,22.863333,-105.11833,POINT (-105.11833190917969 22.863332748413086)
197,"2012",2.2,23.029444,-101.75,POINT (-101.75 23.029443740844727)
198,"2012",2.2,24.322779,-99.91028,POINT (-99.9102783203125 24.322778701782227)
199,"2012",2.2,25.0625,-106.530556,POINT (-106.53055572509766 25.0625)
200,"2012",2.3,18.880833,-97.43528,POINT (-97.4352798461914 18.88083267211914)
201,"2012",2.3,19.377777,-99.495834,POINT (-99.49583435058594 19.377777099609375)
202,"2012",2.3,19.774723,-99.16695,POINT (-99.16694641113281 19.774723052978516)
203,"2012",2.3,20.664167,-99.136665,POINT (-99.13666534423828 20.664167404174805)
204,"2012",2.3,21.206944,-103.458885,POINT (-103.4588851928711 21.20694351196289)
205,"2012",2.3,21.975834,-102.06194,POINT (-102.06194305419922 21.975833892822266)
206,"2012",2.3,22.152779,-101.70695,POINT (-101.70694732666016 22.15277862548828)
207,"2012",2.4,15.457222,-92.28111,POINT (-92.28111267089844 15.457221984863281)
208,"2012",2.4,19.389444,-100.075836,POINT (-100.07583618164062 19.38944435119629)
209,"2012",2.4,19.63889,-97.109726,POINT (-97.10972595214844 19.63888931274414)
210,"2012",2.4,20.146667,-99.91472,POINT (-99.91471862792969 20.14666748046875)
211,"2012",2.4,20.28861,-99.41111,POINT (-99.4111099243164 20.288610458374023)
212,"2012",2.4,23.693056,-103.09361,POINT (-103.09361267089844 23.693056106567383)
213,"2012",2.4,23.902779,-101.71917,POINT (-101.71916961669922 23.90277862548828)
214,"2012",2.4,24.214445,-101.922226,POINT (-101.92222595214844 24.214445114135742)
215,"2012",2.4,24.533333,-100.88333,POINT (-100.88333129882812 24.53333282470703)
216,"2012",2.4,30.054722,-106.906944,POINT (-106.90694427490234 30.05472183227539)
217,"2012",2.4,24.960278,-100.86056,POINT (-100.86055755615234 24.960277557373047)
218,"2012",2.5,17.125,-96.416664,POINT (-96.41666412353516 17.125)
219,"2012",2.5,19.285833,-99.52361,POINT (-99.52361297607422 19.28583335876465)
220,"2012",2.5,19.49,-97.494446,POINT (-97.49444580078125 19.489999771118164)
221,"2012",2.5,20.1,-99.82,POINT (-99.81999969482422 20.100000381469727)
222,"2012",2.5,20.236666,-98.324165,POINT (-98.32416534423828 20.236665725708008)
223,"2012",2.5,20.299444,-98.86222,POINT (-98.86222076416016 20.2994441986084)
224,"2012",2.5,22.117777,-101.39917,POINT (-101.399169921875 22.11777687072754)
225,"2012",2.5,23.114445,-101.54583,POINT (-101.54582977294922 23.114444732666016)
226,"2012",2.5,23.735556,-103.38722,POINT (-103.38722229003906 23.73555564880371)
227,"2012",2.5,24.808332,-105.13389,POINT (-105.1338882446289 24.808332443237305)
228,"2012",2.6,18.983889,-97.441666,POINT (-97.44166564941406 18.983888626098633)
229,"2012",2.6,20.320833,-99.23167,POINT (-99.2316665649414 20.320833206176758)
230,"2012",2.6,23.241388,-102.57472,POINT (-102.57472229003906 23.24138832092285)
231,"2012",2.7,17.016666,-96.099724,POINT (-96.09972381591797 17.016666412353516)
232,"2012",2.7,19.43361,-103.95,POINT (-103.94999694824219 19.433610916137695)
233,"2012",2.7,19.472221,-98.99167,POINT (-98.99166870117188 19.47222137451172)
234,"2012",2.7,19.6725,-99.683334,POINT (-99.68333435058594 19.672500610351562)
235,"2012",2.7,20.380556,-98.96445,POINT (-98.96444702148438 20.380556106567383)
236,"2012",2.7,21.269444,-101.13556,POINT (-101.13555908203125 21.26944351196289)
237,"2012",2.7,22.3575,-103.21,POINT (-103.20999908447266 22.357500076293945)
238,"2012",2.7,23.231667,-103.64389,POINT (-103.64389038085938 23.231666564941406)
239,"2012",2.7,23.242222,-101.215836,POINT (-101.21583557128906 23.24222183227539)
240,"2012",2.7,23.623888,-103.91778,POINT (-103.91777801513672 23.62388801574707)
241,"2012",2.7,23.843334,-101.96,POINT (-101.95999908447266 23.843334197998047)
